Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Seasons,Delta_G,Delta_Passing_Cmp,Delta_Passing_Att,Delta_Passing_Pct,Delta_Passing_Yds,Delta_Passing_Y/A,Delta_Passing_AY/A,Delta_Passing_TD,Delta_Passing_Int,Delta_Passing_Rate,Delta_Rushing_Att,Delta_Rushing_Yds,Delta_Rushing_Avg,Delta_Rushing_TD,Rating,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Team,Round,Pick,Draftyear
Cade McNown,UCLA,Pac-10,12.0,198.0,334.5,59.3,3293.0,9.85,10.2,24.5,8.5,161.3,77.0,104.0,1.3499999999999999,3.5,2,0.0,18.0,45.0,-2.6000000000000014,354.0,-0.3000000000000007,-1.0,1.0,5.0,-9.400000000000006,-4.0,156.0,2.1,-1.0,,,,,,,,,,,,,,,,,,,
Ryan Leaf,Washington State,Pac-10,12.0,227.0,410.0,55.4,3968.0,9.7,10.1,34.0,11.0,158.7,82.0,-48.0,-0.6,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Dutton,Nevada,Big West,11.0,225.0,367.0,61.3,3526.0,9.6,10.0,20.0,6.0,156.7,44.0,-4.0,-0.1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan McNabb,Syracuse,Big East,11.5,151.0,258.0,58.6,2311.0,8.95,9.65,21.0,5.5,156.45,122.5,421.0,3.45,7.0,2,-1.0,12.0,-14.0,7.799999999999997,-354.0,-0.9000000000000004,-0.5,2.0,-1.0,4.900000000000006,25.0,34.0,-0.5,2.0,,,,,,,,,,,,,,,,,,,
Mike Bobo,Georgia,SEC,12.0,199.0,306.0,65.0,2751.0,9.0,9.1,19.0,8.0,155.8,40.0,-70.0,-1.8,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moses Moreno,Colorado State,WAC,12.0,157.0,257.0,61.1,2257.0,8.8,8.8,20.0,9.0,153.5,56.0,-97.0,-1.7,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Huard,Washington,Pac-10,9.5,157.0,279.5,56.55,2032.0,7.45,7.050000000000001,19.0,11.0,134.55,37.5,-25.5,-0.9500000000000001,0.5,2,-1.0,22.0,71.0,-6.5,-216.0,-2.700000000000001,-3.500000000000001,-8.0,2.0,-43.7,13.0,113.0,3.3,-1.0,,,,,,,,,,,,,,,,,,,
Joe Germaine,Ohio State,Big Ten,12.5,179.5,297.0,60.65,2588.5,8.75,8.8,20.5,8.0,151.25,47.0,-107.5,-2.6999999999999997,0.0,2,-1.0,101.0,174.0,-1.5,1483.0,-0.10000000000000142,0.7999999999999989,9.0,-2.0,-1.3000000000000114,30.0,49.0,2.8,,,,,,,,,,,,,,,,,,,,
Mike McQueary,Penn State,Big Ten,12.0,146.0,255.0,57.3,2211.0,8.7,8.4,17.0,9.0,145.0,53.0,-27.0,-0.5,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corby Jones,Missouri,Big 12,11.0,94.5,184.5,51.15,1469.5,7.949999999999999,7.7,10.5,5.5,130.60000000000002,175.5,711.5,4.0,12.5,2,0.0,-15.0,-13.0,-4.5,-377.0,-1.4999999999999991,-1.5999999999999996,-3.0,-1.0,-20.400000000000006,-15.0,-351.0,-1.5999999999999996,-3.0,,,,,,,,,,,,,,,,,,,
